ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
202425,RMEE8BP01E,SCUOLA PRIMARIA,5,59,58,1,0,1
202425,ANPS01401N,SCUOLA SECONDARIA II GRADO,3,41,39,2,0,2
202425,PSTD018013,SCUOLA SECONDARIA II GRADO,1,37,34,3,1,2
202425,NAMM28400X,SCUOLA SECONDARIA I GRADO,2,268,267,1,0,1
202425,VTEE827014,SCUOLA PRIMARIA,4,38,17,21,4,17
202425,BGMM85802E,SCUOLA SECONDARIA I GRADO,2,37,33,4,0,4
202425,NAEE864034,SCUOLA PRIMARIA,4,16,16,0,0,0
202425,MSTF018015,SCUOLA SECONDARIA II GRADO,1,111,99,12,6,6
202425,SREE823018,SCUOLA PRIMARIA,5,47,47,0,0,0
202425,SREE811045,SCUOLA PRIMARIA,3,33,33,0,0,0
202425,NAEE8E304P,SCUOLA PRIMARIA,4,9,9,0,0,0
202425,CSPM070003,SCUOLA SECONDARIA II GRADO,5,93,91,2,1,1
202425,SVTD006014,SCUOLA SECONDARIA II GRADO,1,76,59,17,2,15
202425,LEPS04000E,SCUOLA SECONDARIA II GRADO,3,178,174,4,1,3
202425,MIMM89001X,SCUOLA SECONDARIA I GRADO,3,134,113,21,2,19
202425,PCEE007033,SCUOLA PRIMARIA,5,17,11,6,1,5
202425,SPEE823035,SCUOLA PRIMARIA,5,28,26,2,0,2
202425,CAEE88707L,SCUOLA PRIMARIA,3,2,2,0,0,0
202425,VAEE81204R,SCUOLA PRIMARIA,3,15,14,1,0,1
202425,TOEE81702X,SCUOLA PRIMARIA,5,39,12,27,4,23
202425,TAEE866026,SCUOLA PRIMARIA,4,21,20,1,1,0
202425,SAMM8BU011,SCUOLA SECONDARIA I GRADO,3,135,130,5,0,5
202425,CEEE848016,SCUOLA PRIMARIA,4,17,16,1,0,1
202425,SOEE81802P,SCUOLA PRIMARIA,2,19,15,4,2,2
202425,PVMM835037,SCUOLA SECONDARIA I GRADO,3,63,47,16,1,15
202425,PTEE823019,SCUOLA PRIMARIA,2,37,17,20,4,16
202425,FREE84502T,SCUOLA PRIMARIA,5,14,12,2,0,2
202425,SIRI00301C,SCUOLA SECONDARIA II GRADO,1,41,31,10,1,9
202425,TOTF051011,SCUOLA SECONDARIA II GRADO,3,198,151,47,18,29
202425,CRTF01102V,SCUOLA SECONDARIA II GRADO,3,27,19,8,0,8
202425,PZMM89502X,SCUOLA SECONDARIA I GRADO,3,12,10,2,1,1
202425,VARI01701E,SCUOLA SECONDARIA II GRADO,2,153,132,21,1,20
202425,COMM838013,SCUOLA SECONDARIA I GRADO,3,138,122,16,1,15
202425,ALMM83002C,SCUOLA SECONDARIA I GRADO,1,158,127,31,7,24
202425,RMPS46000L,SCUOLA SECONDARIA II GRADO,5,321,295,26,9,17
202425,RMEE8A602L,SCUOLA PRIMARIA,4,76,67,9,6,3
202425,BLEE82603Q,SCUOLA PRIMARIA,4,10,8,2,2,0
